frame_id,area_pixels,area_percentage,coverage_ratio,box_count,compute_time_ms
80,403488.0,19.458333333333332,0.19458333333333333,34,0.15722610987722874
81,404641.0,19.513937114197528,0.1951393711419753,34,0.1524430699646473
82,410078.0,19.77613811728395,0.1977613811728395,35,0.16496703028678894
83,414597.0,19.994068287037038,0.19994068287037037,35,0.16193604096770287
84,417971.0,20.15678047839506,0.20156780478395062,35,0.16588415019214153
85,418085.0,20.162278163580247,0.20162278163580247,35,0.16529415734112263
86,410700.0,19.80613425925926,0.1980613425925926,35,0.17190701328217983
87,401669.0,19.370611496913583,0.1937061149691358,35,0.16687600873410702
88,392921.0,18.94873649691358,0.1894873649691358,35,0.1653549261391163
89,389893.0,18.802710262345677,0.1880271026234568,35,0.1711021177470684
90,389813.0,18.79885223765432,0.1879885223765432,35,0.17000501975417137
